order_id,order_ts,region,channel,category,sku,qty,unit_price,currency,status,campaign,customer_id
10001,2026-09-01 07:08:47,US,web,home,LM-HOME-175,1,N/A,USD,paid,affiliate,C1032
10002,2026-09-01 17:12:45,eu ,store,electronics,LM-ELEC-128,1,125.49,USD,paid,affiliate,C1603
10003,2026-09-01 08:09:13,APAC,web,home,LM-HOME-111,1,170.12,USD,paid,affiliate,C1099
10004,2026-09-01 23:29:34,US,store,beauty,LM-BEAU-110,3,69.74,USD,paid,,C1300
10005,2026-09-01 02:02:42,EU,marketplace,sports,LM-SPRT-110,1,142.16,USD,cancelled,retarget,C1887
10006,2026-09-01 05:23:22,EU,marketplace,beauty,LM-BEAU-189,2,155.66,USD,paid,spring_push,C1623
10007,2026-09-01 08:59:40,eu ,app,sports,LM-SPRT-187,1,46.33,USD,paid,organic,C1863
10008,2026-09-01 12:17:04,EU,marketplace,home,LM-HOME-127,1,198.75,USD,paid,affiliate,C1405
10009,2026-09-01 23:35:34,APAC,store,grocery,LM-GROC-174,1,69.82,USD,paid,affiliate,C1370
10010,2026-09-01 03:09:40,EU,store,electronics,LM-ELEC-176,3,122.75,USD,paid,spring_push,C1394
10011,2026-09-01 00:43:46,US,marketplace,grocery,LM-GROC-198,3,66.7,USD,refunded,organic,C1114
10012,2026-09-01 23:16:32,EU,web,electronics,LM-ELEC-180,2,9.25,USD,cancelled,organic,C1861
10013,2026-09-01 17:49:59,eu ,web,sports,LM-SPRT-176,1,N/A,USD,paid,organic,C1500
10014,2026-09-01 18:05:05, us,web,beauty,LM-BEAU-197,1,63.93,USD,paid,,C1784
10015,2026-09-01 19:27:13,eu ,app,grocery,LM-GROC-191,3,46.73,USD,refunded,organic,C1408
10016,2026-09-01 03:15:14,US,marketplace,beauty,LM-BEAU-102,2,216.76,USD,paid,,C1567
10017,2026-09-01 01:14:04,US,marketplace,electronics,LM-ELEC-109,1,24.93,USD,cancelled,,C1243
10018,2026-09-01 18:36:30,EU,store,grocery,LM-GROC-152,1,133.33,USD,cancelled,retarget,C1096
10019,2026-09-01 23:03:43,US,web,grocery,LM-GROC-151,1,106.56,USD,paid,organic,C1819
10020,2026-09-01 04:27:11,APAC,store,electronics,LM-ELEC-131,1,52.53,USD,paid,spring_push,C1453
10021,2026-09-01 00:05:59,EU,app,sports,LM-SPRT-152,1,20.21,USD,refunded,affiliate,C1492
10022,2026-09-01 12:16:59, us,marketplace,grocery,LM-GROC-154,1,46.61,USD,paid,,C1677
10023,2026-09-01 18:47:34,US,marketplace,electronics,LM-ELEC-107,1,77.19,USD,paid,spring_push,C1598
10024,2026-09-01 02:54:11,US,web,sports,LM-SPRT-186,1,21.67,USD,refunded,retarget,C1413
10025,2026-09-01 19:05:26,eu ,marketplace,sports,LM-SPRT-133,1,142.52,USD,paid,retarget,C1685
10026,2026-09-01 20:19:29,APAC,web,electronics,LM-ELEC-101,1,100.12,USD,cancelled,affiliate,C1636
10027,2026-09-01 08:08:59,APAC,web,home,LM-HOME-131,1,132.96,USD,refunded,organic,C1291
10028,2026-09-01 16:00:42,eu ,marketplace,sports,LM-SPRT-184,1,150.1,USD,cancelled,spring_push,C1961
10029,2026-09-01 17:09:17,APAC,app,beauty,LM-BEAU-191,1,214.47,USD,cancelled,organic,C1208
10030,2026-09-01 02:40:27,APAC,web,beauty,LM-BEAU-100,3,121.6,USD,paid,organic,C1789
10031,2026-09-01 22:27:35,US,web,beauty,LM-BEAU-109,,180.09,USD,refunded,retarget,C1558
10032,2026-09-01 04:02:19,APAC,web,beauty,LM-BEAU-145,3,136.41,USD,paid,retarget,C1698
10033,2026-09-01 19:47:09,EU,app,home,LM-HOME-122,1,189.1,USD,paid,affiliate,C1025
10034,2026-09-01 07:17:10,US,store,beauty,LM-BEAU-104,2,194.22,USD,cancelled,affiliate,C1227
10035,2026-09-01 07:01:42,EU,store,grocery,LM-GROC-142,1,79.15,USD,paid,organic,C1885
10036,2026-09-01 21:53:34,APAC,web,beauty,LM-BEAU-114,1,157.0,USD,paid,organic,C1182
10037,2026-09-01 11:46:50,APAC,store,beauty,LM-BEAU-177,1,33.6,USD,paid,,C1118
10038,2026-09-01 13:00:33,eu ,app,sports,LM-SPRT-146,1,67.47,USD,cancelled,affiliate,C1071
10039,2026-09-01 23:57:19,eu ,marketplace,beauty,LM-BEAU-185,3,81.17,USD,paid,affiliate,C1334
,2026-09-01 21:24:43,EU,marketplace,beauty,LM-BEAU-151,3,37.97,USD,paid,,C1853
10041,2026-09-01 19:41:20, us,store,beauty,LM-BEAU-156,1,108.02,USD,refunded,retarget,C1523
10042,2026-09-01 20:39:21,US,app,electronics,LM-ELEC-186,1,74.2,USD,cancelled,organic,C1230
10043,2026-09-01 19:54:49,US,store,electronics,LM-ELEC-153,1,19.2,USD,paid,,C1199
10044,2026-09-01 20:44:00,US,store,grocery,LM-GROC-128,2,101.02,USD,paid,retarget,C1823
10045,2026-09-01 03:29:08, us,marketplace,sports,LM-SPRT-196,2,20.13,USD,paid,affiliate,C1627
10046,2026-09-01 14:57:10, us,store,sports,LM-SPRT-133,2,200.78,USD,refunded,retarget,C1860
10047,2026-09-01 14:04:45,APAC,app,sports,LM-SPRT-134,2,153.59,USD,paid,organic,C1327
10048,2026-09-01 22:09:45,EU,web,home,LM-HOME-153,1,43.42,USD,paid,affiliate,C1338
10049,2026-09-01 12:57:49,eu ,web,grocery,LM-GROC-197,1,56.38,USD,paid,,C1389
10050,2026-09-01 17:47:47,eu ,app,beauty,LM-BEAU-162,1,182.93,USD,paid,retarget,C1279
